,Title,Body,Tags
916626,I dont understand why this log4j.xml is wrong,"<p>I wanna log into cassandra db with log4j.</p>

<p>so I write this log4j.xml configuration.</p>

<pre><code>    &lt;appender name=""DBlog"" class=""org.apache.log4j.jdbc.JDBCAppender""&gt;
      &lt;param name=""URL"" value=""jdbc:cassandra://localhost:9160/MyKeyspace"" /&gt;
      &lt;param name=""Driver"" value=""org.apache.cassandra.cql.jdbc.CassandraDriver"" /&gt;
      &lt;param name=""User"" value="""" /&gt;
      &lt;param name=""Password"" value="""" /&gt;
      &lt;layout class=""...""/&gt;
    &lt;/appender&gt;

    &lt;logger name=""logger""&gt;
      &lt;level value=""info""/&gt;
      &lt;appender-ref ref=""DBlog"" /&gt;
    &lt;/logger&gt;
</code></pre>

<p>Logging is doing well. but, log4j generate this message</p>

<pre><code>log4j:WARN No appenders could be found for logger (org.apache.cassandra.cql.jdbc.CassandraDriver).
log4j:WARN Please initialize the log4j system properly.
</code></pre>

<p>I dont understand what is wrong.
Anyone knows answer, plz help.</p>
",log4j cassandra
768258,clone git repository via active FTP,"<p>I'm a branch office worker and have uploaded my existing repo to the ftp server at my company's central office. The central office is using Microsoft's ftp server. I have no access to install anything on the server and was only able to connect/browse to the ftp server using a real ftp client that supports active mode ftp. </p>

<p>I have tried cloning with the following command lines:</p>

<pre><code>git clone ftp://companyDomain\username@ftp.company.com/project.repo/.git 
git clone ftp://username@company.com@ftp.company.com/project.repo/.git
git clone ftp://username%40company.com@ftp.company.com/project.repo/.git
git clone ftp://username:password@ftp.company.com/project.repo/.git
</code></pre>

<p>And I get the following error message:</p>

<blockquote>
  <p>error: Failed connect to <code>ftp.company.com:21</code>; No error while accessing
  <code>ftp://companyDomain\username@ftp.company.com/project.repo/.git/info/refs</code>
  fatal: HTTP request failed</p>
</blockquote>

<p>When entering the above commands I immediately get prompted for my password. I enter the password, some time passes and then I received the above error message.</p>

<p>To be completely clear I'm am NOT looking to push the head version of my source to an FTP server for deployment, so things like git-ftp, <a href=""https://github.com/resmo/git-ftp"" rel=""nofollow"">https://github.com/resmo/git-ftp</a>, don't help me out at all. What I want to do is have my repo on the ftp server and everyone on my very small team be able to push/fetch changes to the repo on the ftp server. </p>

<p>Does git support active FTP?
What's going on?</p>

<p>Thanks, 
Chris</p>
",git ftp clone
2368609,How to print XSLT version supported by Xalan in Xalan c++?,"<p>I am using Xalan C++ library and I want to print the XSL version supported by it.
How to print XSLT version supported by Xalan in Xalan c++ ?</p>

<p>want to know whether there is any api/funtion in xalan which can return the version of XSL supported by Xalan.</p>

<p>Thnks</p>
",xalan
131806,Hibernate mapping for cyclic relation ships,"<p>I am learning a hibernate and I am developing a very small project for learning purpose. I have a question </p>

<p>I Have two projects
    1. com.common.model
    2. com.amar.model</p>

<p>In first project (com.common.model) has a class called ""Person.java"" and it has their own ""Person.hbm.xml"" file.
This person class has a properties like firstname, lastname and etc. This person has many addresses like</p>

<pre><code>public class Person {
private String fn;
private String ln;
private Set&lt;Address&gt; addresses;

//getters and setters
}
</code></pre>

<p>This address class is present in second project (com.amar.model)</p>

<pre><code>public class Address {
private String street;
private String city;

private Person person; -- Cause for cyclic dependency. How can I avoid this cyclic dependency and how can I map these properties with hibernate ?

// getters and setters
}
</code></pre>

<p>This address also has its own ""Address.hbm.xml""</p>

<p>There is a dependency on both the classes. I mean one person has multiple addresses and also one address has related to one person only. So If I add an person entry in Address class it will show a cyclic dependency error. If I move this address class in common.model package my problem will solve but in future If I hit this problem how can I overcome this problem.</p>

<p>So how can I avoid this situation and also how can I create a mapping for these two things.</p>
",hibernate
4213547,ffmpeg: how to add cartoon effect?,"<p>I was wondering if anyone out there has used the frie0r effects to change videos to look like they are cartoons through ffmpeg. I tried the code below and the output those not look like what a cartoon should be. Perhaps I am missing some perimeters but I cant seem to find anything online.</p>

<pre><code>ffmpeg.exe -i input -vf ""frei0r=cartoon:0.6:0.00"" -q 0 output
</code></pre>

<p>if it helps, I am trying to get my video output to look like the cartoon image here:
<a href=""http://www.openmovieeditor.org/filtereffects.html"" rel=""nofollow"">http://www.openmovieeditor.org/filtereffects.html</a></p>

<p>Any help would be grateful. Thanks.</p>
",ffmpeg
5335709,PHP Ajax Realtime autosave Fwrite to config.txt,"<p>Im trying to figure this out but its really getting to me 2nd all day on trying code and searching ...</p>

<p>Trying to see guidance if i am getting to the right direction with ajax and autosaving when a user performs an action on the button (BUT i do need to have a config.txt)</p>

<p>Because its more of an Active running application for enabling/disabling an action with custom options needed on the fly.</p>

<p>Trying to (ON page load )  read file config.txt  (and auto change the values on the form to what was read from config.txt like a 2 way async (Without reloading the page)</p>

<p><strong>config.txt</strong></p>

<pre><code>    active=1
    email=1
    markets=chi,nyc,orl,sfo
    timer=15
    emailaddress=test@gmail.com
    logviewer=1
</code></pre>

<p>so Being that markets has option to add 1 or more i need to post with commas ...</p>

<p>Thus when active=1 is enabled theres a bash script in the background that will be executed based on the selection of the active (when the user checks the box IN REALTIME) ... (onclick)</p>

<p><strong>MAIN HTML</strong></p>

<pre><code>&lt;html xmlns=""http://www.w3.org/1999/xhtml""&gt;
&lt;head&gt;
&lt;meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" /&gt;
&lt;title&gt;....Tools....&lt;/title&gt;


&lt;script src=""js/ajaxsbmt.js"" type=""text/javascript""&gt;&lt;/script&gt;
&lt;link rel=""stylesheet"" type=""text/css"" media=""all"" href=""http://ajax.googleapis.com/ajax/libs/jqueryui/1.8.11/themes/ui-darkness/jquery-ui.css""/&gt;


&lt;script type=""text/javascript"" src=""http://ajax.googleapis.com/ajax/libs/jquery/1/jquery.js""&gt;&lt;/script&gt;
&lt;script type=""text/javascript"" src=""http://ajax.googleapis.com/ajax/libs/jqueryui/1/jquery-ui.min.js""&gt;&lt;/script&gt;
&lt;script type=""text/javascript"" src=""../src/jquery.multiselect.js""&gt;&lt;/script&gt;
&lt;script type=""text/javascript"" src=""../src/jquery.multiselect.filter.js""&gt;&lt;/script&gt;
&lt;script type=""text/javascript"" src=""assets/prettify.js""&gt;&lt;/script&gt;

&lt;link rel=""stylesheet"" type=""text/css"" href=""../jquery.multiselect.css"" /&gt;
&lt;link rel=""stylesheet"" type=""text/css"" href=""assets/style.css"" /&gt;
&lt;link rel=""stylesheet"" type=""text/css"" href=""assets/prettify.css"" /&gt;
&lt;link rel=""stylesheet"" type=""text/css"" href=""http://ajax.googleapis.com/ajax/libs/jqueryui/1/themes/ui-lightness/jquery-ui.css"" /&gt;

&lt;script type=""text/javascript""&gt;
$(function(){
    $(""select"").multiselect({
        selectedList: 4
    });

    $(""select"").multiselect().multiselectfilter();
});
&lt;/script&gt;

&lt;script type=""text/javascript""&gt;
function autosave()
{
    if (window.XMLHttpRequest)
    {// code for IE7+, Firefox, Chrome, Opera, Safari
        xmlhttp=new XMLHttpRequest();
    }
    else
    {// code for IE6, IE5
        xmlhttp=new ActiveXObject(""Microsoft.XMLHTTP"");
    }
    xmlhttp.onreadystatechange=function()
    {
        if (xmlhttp.readyState==4 &amp;&amp; xmlhttp.status==200)
        {
            document.getElementById(""poll"").innerHTML=xmlhttp.responseText;
        }
    }
    xmlhttp.open(""GET"",""save.php?data=""+data,true);

    if (multiple_id == ""marketlist"")
    {
        xmlhttp.send($value1"",""$value2"",""$value3"",""$value4"","")
        // NEED TO FIGURE OUT HOW TO POST it as  CHI,ATL,NYC  or however many selected with comma seperated values as the line item Hmmmmmmmmm
    }
}
&lt;/script&gt;
&lt;/head&gt;
&lt;body&gt;
&lt;div id=""TESTING""&gt;
    &lt;h3&gt;ENABLE Debug LOG VIEWER&lt;/h3&gt;
    &lt;form&gt;
        Yes:
        &lt;input type=""radio"" id=""logger"" name=""logviewer"" value=""logger=1"" onclick=""autosave(this.value)"" /&gt;
        &lt;br /&gt;No:
        &lt;input type=""radio"" id=""logger"" name=""logviewer"" value=""logger=0"" onclick=""autosave(this.value)"" /&gt;
    &lt;/form&gt;
&lt;/div&gt;
&lt;div id=""page""&gt;
    &lt;ul&gt;
        &lt;li&gt;&lt;label for=""ch_effects""&gt;ENABLE Diaster Script:&lt;/label&gt;&lt;input type=""checkbox"" id=""ch_enable"" name=""ch_enable"" data-on=""Enable"" data-off=""Disable"" onclick=""autosave(this.value)"" /&gt;&lt;/li&gt;


Select Markets To be monitored

&lt;form&gt;
&lt;form name=""mkts"" method=""post"" action=""save.php""&gt;
    &lt;select name=""marketlist"" multiple=""multiple"" style=""width:600px""&gt;
        &lt;option value=""CHI""&gt;Chicago-CHI&lt;/option&gt;
        &lt;option value=""CHI""&gt;Baltimore-BAL&lt;/option&gt;
        &lt;option value=""NYC""&gt;New York-NYC&lt;/option&gt;
        &lt;option value=""BDR""&gt;Bridgeport-BDR&lt;/option&gt;
        &lt;option value=""PHL""&gt;Philadelphia-PHL&lt;/option&gt;
        &lt;option value=""PHL""&gt;Pittsburgh-PIT&lt;/option&gt;
        &lt;option value=""ORL""&gt;Orlando-ORL&lt;/option&gt;
    &lt;/select&gt;

    &lt;input type=""submit"" id=""marketlist"" value=""what is selected Seperate by Commas"" name=""submit"" onclick=""autosave(this.value)"" /&gt;
&lt;/p&gt;

    &lt;li&gt;&lt;label for=""ch_location""&gt;Email notifications&lt;/label&gt;&lt;input type=""checkbox"" id=""ch_emailnotify"" name=""ch_emailnotify"" data-on=""ON"" data-off=""OFF"" onchange=""autosave(this.value)""/&gt;&lt;/li&gt;
    &lt;li&gt;&lt;label for=""ch_emails""&gt;Realtime log view&lt;/label&gt;&lt;input type=""checkbox"" id=""ch_logview"" name=""ch_logview"" data-on=""Show"" data-off=""Hide"" onchange=""autosave(this.value)""/&gt;&lt;/li&gt;
  &lt;/ul&gt;

            &lt;p&gt;


            &lt;div&gt;
                &lt;input id=""email"" name=""email"" class=""element text medium"" type=""text"" maxlength=""255"" value="""" onchange=""autosave(this.value)""/&gt; 
            &lt;/div&gt;
            &lt;li class=""buttons""&gt;
                &lt;input type=""hidden"" name=""form_id"" value=""CONFIG"" /&gt;

                &lt;input id=""saveForm"" class=""button_text"" type=""submit"" name=""submit"" value=""Submit"" /&gt;
            &lt;/li&gt;
        &lt;/ul&gt; 
    &lt;/form&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p><strong>SAVE.PHP</strong></p>

<pre><code>&lt;?php
$logger = $_REQUEST[""logger""];
$active = $_REQUEST[""ch_enable""];
$marketlist = $_REQUEST[""marketlist""];
$emailnotify = $_REQUEST[""ch_emailnotify""];

$filename=""config.txt"";
$act = ""active='$active'"";
$log = ""logger='$logger'"";
$mkt = ""markets='$marketlist'"";
$eml = ""email='$emailnotify'"";


$fin=fopen($filename,""w"");

fwrite($fin,$content);

if ( $act = """" ) {
    $cmd = ""grep 'active=' "" . $filename;
    $output = system($cmd, $result);
    $lines = explode(""\n"", $result);
}



if ( $log != """" ) {
    $cmd = ""grep 'logger=' "" . $filename;
    $output = system($cmd, $result);
    $lines = explode(""\n"", $result);
}

if ( $mkt != """" ) {
    $cmd = ""grep 'markets=' "" . $filename;
    $output = system($cmd, $result);
    $lines = explode(""\n"", $result);
}

if ( $eml != """" ) {
    $cmd = ""grep 'email=' "" . $filename;
    $output = system($cmd, $result);
    $lines = explode(""\n"", $result);
}

fclose($fin);
echo ""Data saved"";
?&gt;
</code></pre>
",php javascript jquery ajax fwrite
3485937,can I connect bespin to github,"<p>I was checking bespin documentation and I found this
<a href=""https://wiki.mozilla.org/Labs/Bespin/DesignDocs/VCSIntegration"" rel=""nofollow"">https://wiki.mozilla.org/Labs/Bespin/DesignDocs/VCSIntegration</a>
Here it says bespin can connect mercurial, svn and git. But I could not find those commands in bespin (I am using it from <a href=""https://bespin.mozillalabs.com/"" rel=""nofollow"">https://bespin.mozillalabs.com/</a>). I am spesifically trying to find a way to connect bespin to github, so I can have free online code editing solution. Did anybody else tried that? or is it possible.</p>
",github bespin
2445320,What is the maximum number of handled blocks for the bzip2 command line tool?,"<p>I know from the manual pages of bzip2 that it writes it's data in blocks, of sizes from 100-900kb. </p>

<p>We have ran into a problem with a 150GB bzip2 file, that it gives an ""Unexpected EOF"" error when unpacking it.</p>

<p>I realized that at least some subcomponents of the bzip2 tool set, such as bzip2recover, has a limit for the maximum number of blocks that it can process (50000 for bzip2recover). </p>

<p>I could increase this by modifying the source code and recompile, but I tried to find a correpsonding limit in the bzip2 tool itself, which I suspect could be the reason for our ""EOF"" error on the file.</p>

<p>I haven't been able to find the limit yet though, but maybe someone can point it out for me?</p>
",bzip2
1098055,Javadoc Custom Tag Search,"<p>I want to add a search option to my documentation that allows the user to search for info linked to a specific tag. I have generated the javadocs using the command line in windows with the -tag option for my custom ID tag. Each class has an ID number, I would like to have the user  be able to enter that ID and pull up the class. </p>

<p>So far I have found this Chrome extension <a href=""http://code.google.com/p/javadoc-search-frame/"" rel=""nofollow"">http://code.google.com/p/javadoc-search-frame/</a> but it only searches for the class name.</p>

<p>This is my first time working with Javadocs, any suggestions would be helpful. Thanks.</p>
",java javadoc
2925565,Remove leading subdirectories in a ZIP file,"<p>Is there any ZIP tools that do similar to the <code>patch -p1</code> command, where the first N directory names would get ignored?</p>

<p>My users send me ZIP files that often contain one unnecessary directory, and instead of unzipping them in place, I have to unzip, then go into the subdirectory and move all the files out.  Sometimes it's a zip of thousands of files, and that extra move step can take a while. If 7z or something had <code>7z x -p1 my_zip.zip</code>, that first directory could be ignored.  I'd still want to have the directory tree inside that subdirectory.</p>
",zip
